#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
storage.s3.cloudtrail_bucket,Storage,amatra-cloudtrail-logs-prod,amatra-cloudtrail-logs-dev,amatra-cloudtrail-logs-dr,Dedicated S3 bucket for CloudTrail log delivery with Object Lock (WORM) enabled,Yes,String,Globally unique; lowercase alphanumeric and hyphens,Confidential,Security Team,security.cloudtrail.enabled,Object Lock WORM mode enforced; retain for 7 years per SOC 2 audit requirement,2025-06-15
storage.s3.lifecycle.standard_to_intelligent_tiering_days,Storage,90,90,90,Days after object creation before transitioning artifacts to S3 Intelligent-Tiering,Yes,Integer,30-365,Public,Operations,storage.s3.artifacts_bucket_name,Reduces storage cost for artifacts older than 90 days per cost model optimisation,2025-06-15
storage.s3.lifecycle.glacier_transition_days,Storage,1825,1825,1825,Days after object creation before transitioning artifacts to S3 Glacier Instant Retrieval (5 years),Yes,Integer,365-36500,Public,Operations,storage.s3.lifecycle.standard_to_intelligent_tiering_days,Aligns with 5-year artifact retention policy; audit logs use a separate CloudTrail bucket policy,2025-06-15
storage.s3.dr_replication_bucket,Storage,amatra-artifacts-dr-use1,amatra-artifacts-dr-use1-dev,amatra-artifacts-dr-use1,S3 cross-region replication destination bucket in us-east-1 for DR purposes,Yes,String,Globally unique; lowercase alphanumeric and hyphens,Confidential,Operations,storage.s3.artifacts_bucket_name,DR bucket only; customer data never served from us-east-1 in normal operation per data residency requirement,2025-06-15
storage.dynamodb.solution_state_table,Database,amatra-solution-state-prod,amatra-solution-state-dev,amatra-solution-state-dr,DynamoDB table name for solution state records tracking job status and artifact metadata,Yes,String,Non-empty string; matches naming convention,Confidential,Database Team,aws.region,On-demand billing mode; PITR enabled; KMS encrypted with amatra-database-key,2025-06-15
storage.dynamodb.usage_tracking_table,Database,amatra-usage-tracking-prod,amatra-usage-tracking-dev,amatra-usage-tracking-dr,DynamoDB table name for per-user and global monthly usage counters and limit configuration,Yes,String,Non-empty string; matches naming convention,Confidential,Database Team,aws.region,On-demand billing mode; PITR enabled; partition key: user_id; sort key: month_key (YYYY-MM),2025-06-15
storage.dynamodb.terraform_lock_table,Database,amatra-terraform-lock-prod,amatra-terraform-lock-dev,amatra-terraform-lock-dr,DynamoDB table used for Terraform state locking to prevent concurrent applies,Yes,String,Non-empty string; matches naming convention,Confidential,DevOps,storage.s3.terraform_state_bucket,Must be created before any Terraform operations; do not delete while CI/CD pipelines are active,2025-06-15
storage.dynamodb.audit_table,Database,amatra-audit-records-prod,amatra-audit-records-dev,amatra-audit-records-dr,DynamoDB table for platform audit records: usage limit changes and admin actions,Yes,String,Non-empty string; matches naming convention,Confidential,Security Team,aws.region,Records retained for 3 years via DynamoDB TTL attribute; supplement to CloudTrail for application-level events,2025-06-15
storage.dynamodb.billing_mode,Database,PAY_PER_REQUEST,PAY_PER_REQUEST,PAY_PER_REQUEST,DynamoDB billing mode for all platform tables,Yes,String,"PROVISIONED|PAY_PER_REQUEST",Public,Database Team,,On-demand (PAY_PER_REQUEST) selected due to unpredictable workload volume at 24 engagements/quarter,2025-06-15
storage.dynamodb.pitr_enabled,Database,true,false,true,Enable DynamoDB Point-in-Time Recovery on the solution state and usage tracking tables,Yes,Boolean,true|false,Public,Database Team,,Required for 1-hour RPO target; always true in Production and DR; disabled in Dev to reduce cost,2025-06-15
storage.dynamodb.solution_record_ttl_days,Database,1095,1095,1095,TTL in days for solution records in the solution-state table (3 years per retention policy),Yes,Integer,30-3650,Public,Database Team,storage.dynamodb.solution_state_table,TTL attribute set at record creation time; automated deletion enforces GDPR retention policy,2025-06-15
bedrock.model_id,AI,anthropic.claude-3-sonnet-20240229-v1:0,anthropic.claude-3-sonnet-20240229-v1:0,anthropic.claude-3-sonnet-20240229-v1:0,Amazon Bedrock model ID for Claude 3 Sonnet used by the Bedrock Orchestration Lambda,Yes,String,Valid Bedrock model ID,Public,Development,,Claude 3 Sonnet selected per SOW; upgrade path to Claude 3 Opus documented in optimisation roadmap,2025-06-15
bedrock.region,AI,us-west-2,us-west-2,us-west-2,AWS region for Bedrock InvokeModel API calls; must match solution region for PrivateLink routing,Yes,String,Valid AWS region code,Public,Development,aws.region,Bedrock is invoked via PrivateLink VPC endpoint; must remain in same region as Lambda execution,2025-06-15
bedrock.max_tokens_per_artifact,AI,4096,4096,4096,Maximum output tokens requested per Bedrock InvokeModel call per artifact type,Yes,Integer,256-200000,Public,Development,bedrock.model_id,Tune per artifact type during prompt engineering phase; SOW targets ≤90 min total job completion,2025-06-15
bedrock.monthly_token_quota,AI,90000000,10000000,90000000,Configured Bedrock token consumption quota per month (input + output) matching the Large tier cost model,Yes,Integer,1000000-500000000,Public,Operations,monitoring.alert.bedrock_quota_threshold_pct,90M tokens/month per SOW Large tier sizing; request quota increase to 200M before Phase 3 per risk register,2025-06-15
bedrock.prompt_templates_s3_prefix,AI,prompts/,prompts/,prompts/,S3 key prefix under the artifacts bucket where versioned Bedrock prompt templates are stored,Yes,String,Non-empty string ending with /,Confidential,Development,storage.s3.artifacts_bucket_name,Each artifact type has its own subdirectory: prompts/{artifact_type}/prompt-template.txt,2025-06-15
bedrock.output_validation.max_retries,AI,3,3,3,Maximum times the Output Validation Lambda retries a failed Bedrock generation before marking the job as VALIDATION_FAILED,Yes,Integer,1-10,Public,Development,compute.stepfunctions.max_retry_attempts,Failed artifacts stored at {solution_id}/failed/ in S3 with VALIDATION_FAILED status for human review,2025-06-15
security.cognito.user_pool_id,Security,[cognito-user-pool-id],[cognito-user-pool-id],[cognito-user-pool-id],Amazon Cognito User Pool ID used by API Gateway Cognito Authoriser for JWT validation,Yes,String,"^[a-z0-9-]+_[A-Za-z0-9]+$",Secret,Security Team,,Retrieve from Terraform output post-provisioning; do not hardcode in application code,2025-06-15
security.cognito.app_client_id,Security,[cognito-app-client-id],[cognito-app-client-id],[cognito-app-client-id],Cognito User Pool App Client ID for the platform REST API application,Yes,String,Non-empty alphanumeric string,Secret,Security Team,security.cognito.user_pool_id,Retrieve from Terraform output; used by API Gateway authoriser and Cognito OAuth 2.0 flows,2025-06-15
security.cognito.user_pool_domain,Security,amatra-prod,amatra-dev,amatra-dr,Cognito Hosted UI domain prefix for the OAuth 2.0 authorisation endpoint,Yes,String,Lowercase alphanumeric and hyphens; globally unique,Confidential,Security Team,security.cognito.user_pool_id,Full domain: {prefix}.auth.{region}.amazoncognito.com,2025-06-15
security.cognito.mfa_required_groups,Security,admins,admins,admins,Comma-separated list of Cognito groups for which MFA is mandatory per SOW security requirements,Yes,List(String),Non-empty; each entry must be a valid Cognito group name,Public,Security Team,security.cognito.user_pool_id,MFA mandatory for admins group; optional for presales-consultants and delivery-consultants per security design,2025-06-15
security.cognito.access_token_expiry_seconds,Security,3600,3600,3600,Cognito access token validity in seconds (1 hour per design document),Yes,Integer,300-86400,Public,Security Team,security.cognito.user_pool_id,Matches design doc spec; refresh token validity is 30 days (2592000 seconds),2025-06-15
security.cognito.user_groups,Security,"presales-consultants,delivery-consultants,admins","presales-consultants,delivery-consultants,admins","presales-consultants,delivery-consultants,admins",Comma-separated list of Cognito user groups defining the three platform roles per SOW,Yes,List(String),Non-empty; must match IAM policy scope definitions,Public,Security Team,security.cognito.user_pool_id,~120 users migrated from Okta; admins group gets platform:admin scope; presales gets artifacts:generate,2025-06-15
security.kms.artifacts_key_arn,Security,[kms-artifacts-key-arn],[kms-artifacts-key-arn],[kms-artifacts-key-arn],ARN of the KMS CMK (amatra-artifacts-key) used for S3 artifact bucket SSE-KMS encryption,Yes,String,Valid KMS key ARN format,Secret,Security Team,storage.s3.artifacts_bucket_name,Stored in Secrets Manager; retrieved by Terraform at apply time; 365-day auto-rotation enabled,2025-06-15
security.kms.database_key_arn,Security,[kms-database-key-arn],[kms-database-key-arn],[kms-database-key-arn],ARN of the KMS CMK (amatra-database-key) used for DynamoDB table encryption at rest,Yes,String,Valid KMS key ARN format,Secret,Security Team,storage.dynamodb.solution_state_table,Separate CMK from artifacts key per data classification tier design; 365-day auto-rotation enabled,2025-06-15
security.kms.secrets_key_arn,Security,[kms-secrets-key-arn],[kms-secrets-key-arn],[kms-secrets-key-arn],ARN of the KMS CMK (amatra-secrets-key) used for Secrets Manager secret encryption,Yes,String,Valid KMS key ARN format,Secret,Security Team,,Separate CMK per data classification tier; 365-day auto-rotation enabled,2025-06-15
security.kms.audit_key_arn,Security,[kms-audit-key-arn],[kms-audit-key-arn],[kms-audit-key-arn],ARN of the KMS CMK (amatra-audit-key) used for CloudTrail log encryption and CloudWatch Logs encryption,Yes,String,Valid KMS key ARN format,Secret,Security Team,security.cloudtrail.enabled,Separate CMK for audit data; 365-day auto-rotation enabled; critical for SOC 2 audit integrity,2025-06-15
security.kms.key_rotation_enabled,Security,true,true,true,Enable automatic annual rotation for all KMS customer-managed keys,Yes,Boolean,true|false,Public,Security Team,,365-day rotation schedule per SOC 2 and SOW encryption requirements; cannot be disabled in production,2025-06-15
security.secrets_manager.rotation_days,Security,30,30,30,Automatic rotation interval in days for all Secrets Manager secrets (API keys and credentials),Yes,Integer,1-365,Public,Security Team,,30-day rotation per SOW Secrets Governance policy; applies to Bedrock config and Datadog API key,2025-06-15
security.waf.rate_limit_requests_per_minute,Security,1000,1000,1000,WAF rate limiting threshold: maximum requests per minute per source IP on API Gateway,Yes,Integer,100-1000000,Public,Security Team,networking.api_gateway.waf_acl_arn,1000 req/min per SOW security design; review during hypercare based on actual traffic patterns,2025-06-15
security.waf.enable_owasp_rules,Security,true,true,true,Enable AWS Managed Rules OWASP CommonRuleSet and KnownBadInputsRuleSet on WAF ACL,Yes,Boolean,true|false,Public,Security Team,networking.api_gateway.waf_acl_arn,Required for SOC 2 CC6.7 and OWASP API Security Top 10 validation in Phase 4 security testing,2025-06-15
security.cloudtrail.enabled,Security,true,true,true,Enable AWS CloudTrail multi-region trail capturing management and data plane events,Yes,Boolean,true|false,Public,Security Team,storage.s3.cloudtrail_bucket,Always true; disabling CloudTrail is a Severity 1 SOC 2 compliance violation,2025-06-15
security.cloudtrail.include_data_events,Security,true,false,true,Enable CloudTrail data events for S3 object-level operations and DynamoDB table operations,Yes,Boolean,true|false,Public,Security Team,security.cloudtrail.enabled,Required for SOC 2 audit completeness; disabled in Dev to reduce cost; always enabled in Production,2025-06-15
security.cloudtrail.object_lock_retention_years,Security,7,1,7,S3 Object Lock WORM retention period in years for the CloudTrail log bucket,Yes,Integer,1-99,Public,Security Team,storage.s3.cloudtrail_bucket,7-year retention for SOC 2 evidence; Object Lock prevents deletion even by root account,2025-06-15
security.iam.require_mfa_for_console,Security,true,true,true,Enforce MFA requirement for all AWS IAM Identity Center console access to production account,Yes,Boolean,true|false,Public,Security Team,,Hardware MFA required for production; IAM Identity Center SSO policy enforces this at login,2025-06-15
security.s3.block_public_access,Security,true,true,true,Enforce S3 Block Public Access at the AWS account level for all buckets,Yes,Boolean,true|false,Public,Security Team,,AWS Config rule monitors this; any violation triggers Severity 1 alert per monitoring design,2025-06-15
security.tls.minimum_version,Security,TLS1_2,TLS1_2,TLS1_2,Minimum TLS version enforced on API Gateway endpoints and CloudFront distributions,Yes,String,"TLS1_0|TLS1_1|TLS1_2|TLS1_3",Public,Security Team,,TLS 1.0 and 1.1 explicitly disabled per SOW security design; enforced via API Gateway security policy,2025-06-15
security.data_residency.allowed_regions,Security,us-west-2,us-west-2,"us-west-2,us-east-1",Comma-separated AWS regions where customer data is permitted to reside,Yes,List(String),Valid AWS region codes,Public,Security Team,,DR bucket in us-east-1 is read-only replica; all writes and serving occur in us-west-2 only,2025-06-15
networking.vpc.cidr,Networking,10.10.0.0/16,10.10.0.0/16,10.10.0.0/16,VPC CIDR block for the platform VPC (amatra-platform-vpc),Yes,String,Valid CIDR notation /8 to /24,Confidential,Network Team,,Separate VPC per environment; CIDR does not overlap with Amatra corporate network,2025-06-15
networking.vpc.private_subnet_az1,Networking,10.10.10.0/24,10.10.10.0/24,10.10.10.0/24,Private subnet CIDR in us-west-2a for Lambda VPC execution,Yes,String,Valid CIDR within vpc.cidr,Confidential,Network Team,networking.vpc.cidr,Lambda functions in this subnet route to PrivateLink endpoints; no internet gateway,2025-06-15
networking.vpc.private_subnet_az2,Networking,10.10.11.0/24,10.10.11.0/24,10.10.11.0/24,Private subnet CIDR in us-west-2b for Lambda VPC execution,Yes,String,Valid CIDR within vpc.cidr,Confidential,Network Team,networking.vpc.cidr,,2025-06-15
networking.vpc.private_subnet_az3,Networking,10.10.12.0/24,10.10.12.0/24,10.10.12.0/24,Private subnet CIDR in us-west-2c for Lambda VPC execution,Yes,String,Valid CIDR within vpc.cidr,Confidential,Network Team,networking.vpc.cidr,,2025-06-15
networking.vpc.public_subnet_az1,Networking,10.10.0.0/24,10.10.0.0/24,10.10.0.0/24,Public subnet CIDR in us-west-2a hosting NAT Gateway for outbound egress,Yes,String,Valid CIDR within vpc.cidr,Confidential,Network Team,networking.vpc.cidr,NAT Gateway per AZ deployed in public subnets; Internet Gateway attached to VPC,2025-06-15
networking.vpc.public_subnet_az2,Networking,10.10.1.0/24,10.10.1.0/24,10.10.1.0/24,Public subnet CIDR in us-west-2b hosting NAT Gateway,Yes,String,Valid CIDR within vpc.cidr,Confidential,Network Team,networking.vpc.cidr,,2025-06-15
networking.vpc.public_subnet_az3,Networking,10.10.2.0/24,10.10.2.0/24,10.10.2.0/24,Public subnet CIDR in us-west-2c hosting NAT Gateway,Yes,String,Valid CIDR within vpc.cidr,Confidential,Network Team,networking.vpc.cidr,,2025-06-15
networking.vpc.nat_gateway_count,Networking,3,1,3,Number of NAT Gateway instances; one per AZ in Production for HA,Yes,Integer,1-3,Public,Network Team,networking.vpc.public_subnet_az1,Production uses 3 NAT Gateways for AZ-level resilience; Dev uses 1 to minimise cost,2025-06-15
networking.api_gateway.endpoint_type,Networking,REGIONAL,REGIONAL,REGIONAL,API Gateway endpoint type; REGIONAL for WAF attachment and single-region deployment,Yes,String,"REGIONAL|EDGE|PRIVATE",Public,Development,,REGIONAL selected per architecture design; EDGE not used as WAF must be in same region as API,2025-06-15
networking.api_gateway.waf_acl_arn,Networking,[waf-acl-arn],[waf-acl-arn],[waf-acl-arn],ARN of the AWS WAF v2 Web ACL attached to the API Gateway REST API,Yes,String,Valid WAF ACL ARN,Confidential,Security Team,security.waf.enable_owasp_rules,Terraform output post-provisioning; must be attached before API Gateway goes live,2025-06-15
networking.cloudfront.distribution_id,Networking,[cloudfront-distribution-id],[cloudfront-distribution-id],[cloudfront-distribution-id],CloudFront distribution ID serving static web assets from S3 origin,Yes,String,Valid CloudFront distribution ID,Confidential,Operations,storage.s3.artifacts_bucket_name,TLS enforced; WAF attached; used for static asset CDN only — not for API traffic,2025-06-15
networking.privatelink.endpoints_enabled,Networking,true,true,true,Deploy AWS PrivateLink VPC interface endpoints for Bedrock and Secrets Manager service access,Yes,Boolean,true|false,Public,Network Team,networking.vpc.cidr,Gateway endpoints (S3 and DynamoDB) are free; interface endpoints for Bedrock and Secrets Manager cost $7.20/month each,2025-06-15
integration.sqs.generation_queue_name,Integration,amatra-generation-queue-prod.fifo,amatra-generation-queue-dev.fifo,amatra-generation-queue-dr.fifo,SQS FIFO queue name for the artifact generation job pipeline,Yes,String,Non-empty string ending with .fifo,Confidential,Operations,aws.region,Content-based deduplication enabled; MessageGroupId set to solution_id to prevent duplicate processing,2025-06-15
integration.sqs.dlq_name,Integration,amatra-generation-dlq-prod,amatra-generation-dlq-dev,amatra-generation-dlq-dr,SQS Dead-Letter Queue name capturing messages that failed 3 delivery attempts,Yes,String,Non-empty string,Confidential,Operations,integration.sqs.generation_queue_name,CloudWatch alarm fires on any DLQ message; triggers Severity 2 alert per monitoring design,2025-06-15
integration.sqs.message_retention_seconds,Integration,345600,345600,345600,SQS message retention period in seconds (4 days) ensuring no jobs are lost during outages,Yes,Integer,60-1209600,Public,Operations,integration.sqs.generation_queue_name,4-day retention provides buffer during Bedrock service events or Lambda throttling,2025-06-15
integration.sqs.max_receive_count,Integration,3,3,3,Maximum number of SQS message delivery attempts before routing to Dead-Letter Queue,Yes,Integer,1-1000,Public,Development,integration.sqs.dlq_name,Matches Bedrock orchestration retry configuration; balance between retry resilience and DLQ sensitivity,2025-06-15
integration.ses.sender_email,Integration,[ses-sender-email],[ses-sender-email],[ses-sender-email],Verified SES sender email address for job completion and error notification emails,Yes,String,Valid email address verified in SES,Confidential,Operations,,Must be verified in SES in us-west-2 before Phase 5 go-live; do not use a personal email address,2025-06-15
integration.ses.notification_template,Integration,amatra-job-completion-prod,amatra-job-completion-dev,amatra-job-completion-dr,SES email template name for job completion notifications,Yes,String,Non-empty string,Public,Development,integration.ses.sender_email,,2025-06-15
