#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
application.log_level,Application,info,debug,info,Logging verbosity level for all Lambda functions and agents,Yes,String,"debug|info|warn|error",Public,Operations,,debug only in dev; info in prod to reduce CloudWatch cost,2026-06-05
application.max_artifacts_per_solution,Application,12,12,12,Total artifact types produced per solution run per SOW scope,Yes,Integer,1-50,Public,Development,,"5 presales + 6 delivery + 1 Terraform IaC bundle",2026-06-05
application.validation_retry_limit,Application,3,3,3,Maximum per-artifact validation retry attempts before P1 escalation,Yes,Integer,1-10,Public,Development,,Matches SOW format-check + LLM quality-check retry contract,2026-06-05
application.generation_timeout_minutes,Application,60,60,60,P95 end-to-end solution generation SLA in minutes,Yes,Integer,1-480,Public,Development,compute.stepfunctions.execution_timeout_seconds,Hard SLA per SOW; breach triggers CloudWatch alarm,2026-06-05
cognito.user_pool_name,Security,amatra-prod-user-pool,amatra-dev-user-pool,amatra-prod-user-pool,Cognito User Pool name for platform authentication,Yes,String,Non-empty string max 128 chars,Confidential,Security Team,,CTO sign-off required before production pool activation per SOW,2026-06-05
cognito.user_pool_id,Security,[cognito-user-pool-id],[cognito-user-pool-id],[cognito-user-pool-id],Cognito User Pool ID used by JWT authoriser,Yes,String,Valid Cognito pool ID format,Confidential,Security Team,cognito.user_pool_name,Populated post-provisioning; referenced by API Gateway JWT authoriser,2026-06-05
cognito.app_client_id,Security,[cognito-app-client-id],[cognito-app-client-id],[cognito-app-client-id],Cognito App Client ID for CLI and API authentication flows,Yes,String,Alphanumeric max 128 chars,Confidential,Security Team,cognito.user_pool_id,Used by pip CLI for token acquisition and refresh,2026-06-05
cognito.app_client_secret,Security,[cognito-app-client-secret],[cognito-app-client-secret],[cognito-app-client-secret],Cognito App Client secret for server-side auth flows,Yes,String,Non-empty string,Secret,Security Team,cognito.app_client_id,Stored in Secrets Manager; rotated every 365 days; never in code,2026-06-05
cognito.token_refresh_ttl_days,Security,30,30,30,JWT refresh token TTL in days per SOW authentication spec,Yes,Integer,1-3650,Public,Security Team,cognito.user_pool_id,Matches SOW 30-day refresh token commitment,2026-06-05
cognito.access_token_ttl_hours,Security,1,1,1,JWT access token expiry in hours,Yes,Integer,1-24,Public,Security Team,cognito.user_pool_id,Short-lived access tokens per least-privilege IAM design,2026-06-05
cognito.mfa_enabled,Security,false,false,false,MFA enforcement in Cognito User Pool,Yes,Boolean,true|false,Public,Security Team,cognito.user_pool_id,"MFA eligibility enabled; enforcement optional per SOW; revisit at Phase 2",2026-06-05
security.kms_key_id,Security,[kms-key-id],[kms-key-id],[kms-key-id],Customer-managed KMS key ID for SSE-KMS on S3 and CloudWatch Logs,Yes,String,Valid KMS key ID or ARN,Secret,Security Team,solution.region.primary,CMK per SOW encryption-at-rest requirement; stored in Secrets Manager,2026-06-05
security.enable_encryption_at_rest,Security,true,true,true,Enable SSE-KMS encryption at rest for all data stores,Yes,Boolean,true|false,Public,Security Team,security.kms_key_id,Applies to S3 and CloudWatch Logs; DynamoDB uses AWS-managed key,2026-06-05
security.tls_minimum_version,Security,TLS1.2,TLS1.2,TLS1.2,Minimum TLS version for all data in transit,Yes,String,"TLS1.2|TLS1.3",Public,Security Team,,Enforced via S3 bucket policy aws:SecureTransport condition,2026-06-05
security.guardduty_enabled,Security,true,true,true,Enable AWS GuardDuty threat detection in the account,Yes,Boolean,true|false,Public,Security Team,aws.account_id,Required for SOC 2 Type II baseline controls per SOW,2026-06-05
security.cloudtrail_enabled,Security,true,true,true,Enable CloudTrail data events for S3 and DynamoDB,Yes,Boolean,true|false,Public,Security Team,storage.s3.cloudtrail_bucket,Required for SOW audit trail commitment; WORM retention 365 days,2026-06-05
security.cloudtrail_retention_days,Security,365,30,365,CloudTrail log retention in dedicated S3 bucket with Object Lock,Yes,Integer,1-3653,Public,Security Team,security.cloudtrail_enabled,365 days matches SOW tamper-proof audit evidence requirement,2026-06-05
security.iam_permission_boundary_arn,Security,[iam-permission-boundary-arn],[iam-permission-boundary-arn],[iam-permission-boundary-arn],IAM permission boundary ARN applied to developer and CI/CD roles,Yes,String,Valid IAM ARN format,Confidential,Security Team,aws.account_id,Prevents privilege escalation per SOW IAM least-privilege design,2026-06-05
api.gateway_id,Application,[api-gateway-id],[api-gateway-id],[api-gateway-id],API Gateway HTTP API v2 identifier,Yes,String,Non-empty alphanumeric,Confidential,Development,cognito.user_pool_id,Populated post-provisioning; 11 Lambda routes behind JWT authoriser,2026-06-05
api.route_count,Application,11,11,11,Total number of JWT-protected Lambda routes per SOW scope,Yes,Integer,1-100,Public,Development,api.gateway_id,Fixed at 11 per SOW; additional routes require change control,2026-06-05
api.throttle_rate_limit,Application,100,20,100,API Gateway route-level throttle rate limit (requests/second),Yes,Integer,1-10000,Public,Development,api.gateway_id,Prevents any single user from saturating Lambda concurrency pool,2026-06-05
api.throttle_burst_limit,Application,200,50,200,API Gateway route-level throttle burst limit (requests),Yes,Integer,1-10000,Public,Development,api.throttle_rate_limit,Set higher than rate limit to absorb short traffic spikes,2026-06-05
compute.lambda.memory_mb,Compute,1024,512,1024,Default Lambda function memory allocation in MB,Yes,Integer,128-10240,Public,Development,,Tuned for agent handler performance; adjust per function in IaC,2026-06-05
compute.lambda.timeout_seconds,Compute,900,900,900,Default Lambda function timeout in seconds,Yes,Integer,1-900,Public,Development,application.generation_timeout_minutes,Set to Lambda maximum; Step Functions manages overall pipeline timeout,2026-06-05
compute.lambda.reserved_concurrency,Compute,50,10,50,Reserved Lambda concurrency units for platform functions,Yes,Integer,0-1000,Public,Development,compute.lambda.memory_mb,Sized for 200 solutions/month steady-state with headroom,2026-06-05
compute.stepfunctions.execution_timeout_seconds,Compute,3600,3600,3600,Step Functions state machine execution timeout in seconds,Yes,Integer,1-31536000,Public,Development,application.generation_timeout_minutes,3600s = 60 min; maps directly to P95 end-to-end SLA per SOW,2026-06-05
compute.ecr.repository_name,Compute,amatra-agentcore,amatra-agentcore,amatra-agentcore,ECR repository name for AgentCore agent Docker images,Yes,String,Lowercase alphanumeric hyphens and slashes,Confidential,DevOps Team,solution.region.primary,Single repo; images tagged by agent name and version,2026-06-05
compute.ecr.image_retention_count,Compute,3,3,3,Number of most-recent tagged ECR image versions retained,Yes,Integer,1-100,Public,DevOps Team,compute.ecr.repository_name,Lifecycle policy retains last 3 tagged versions per SOW design,2026-06-05
bedrock.generation_model_id,Application,us.anthropic.claude-sonnet-4-5,us.anthropic.claude-sonnet-4-5,us.anthropic.claude-sonnet-4-5,Bedrock model ID for primary artifact generation (Claude Sonnet 4.6),Yes,String,Valid Bedrock model ID,Public,ML/AI Team,solution.region.primary,Claude Sonnet 4.6 per SOW; confirm model availability in us-west-2 at Phase 2,2026-06-05
bedrock.validation_model_id,Application,us.anthropic.claude-haiku-4-5,us.anthropic.claude-haiku-4-5,us.anthropic.claude-haiku-4-5,Bedrock model ID for cost-efficient validation (Claude Haiku 4.5),Yes,String,Valid Bedrock model ID,Public,ML/AI Team,solution.region.primary,Haiku 4.5 chosen for 5x cost advantage over Sonnet at validation tasks,2026-06-05
bedrock.max_tokens_per_call,Application,4096,4096,4096,Maximum output token limit per Bedrock inference call,Yes,Integer,1-32768,Public,ML/AI Team,bedrock.generation_model_id,Tune per artifact type; caps runaway token spend per SOW $5/solution target,2026-06-05
bedrock.monthly_token_budget_millions,Application,25,5,25,Monthly Bedrock token budget ceiling in millions (combined models),Yes,Integer,1-10000,Public,ML/AI Team,bedrock.generation_model_id,5M–25M tokens/month per SOW scope; alarm at 110% of budget,2026-06-05
dynamodb.table.user_profiles,Database,amatra-prod-user-profiles,amatra-dev-user-profiles,amatra-prod-user-profiles,DynamoDB table name for user profiles and per-user quota counters,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,,2026-06-05
dynamodb.table.solution_state,Database,amatra-prod-solution-state,amatra-dev-solution-state,amatra-prod-solution-state,DynamoDB table name for per-solution execution state and artifact status,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,,2026-06-05
dynamodb.table.quota_global,Database,amatra-prod-quota-global,amatra-dev-quota-global,amatra-prod-quota-global,DynamoDB table name for global 1000/month quota pool counter,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,Conditional writes enforce atomic global quota cap per SOW,2026-06-05
dynamodb.billing_mode,Database,PAY_PER_REQUEST,PAY_PER_REQUEST,PAY_PER_REQUEST,DynamoDB billing mode for all platform tables,Yes,String,"PROVISIONED|PAY_PER_REQUEST",Public,Database Team,dynamodb.table.user_profiles,On-demand chosen to handle bursty quota-write workloads without throttle,2026-06-05
dynamodb.pitr_enabled,Database,true,false,true,Enable DynamoDB Point-in-Time Recovery on all tables,Yes,Boolean,true|false,Public,Database Team,dynamodb.table.user_profiles,PITR provides 35-day recovery window per SOW data architecture,2026-06-05
dynamodb.solution_state_ttl_days,Database,90,30,90,DynamoDB TTL for solution state records in days,Yes,Integer,1-3653,Public,Database Team,dynamodb.table.solution_state,Records archived after 90 days via DynamoDB TTL per SOW data architecture,2026-06-05
storage.s3.bucket_name,Storage,[s3-artifact-bucket-name],[s3-artifact-bucket-name],[s3-artifact-bucket-name],S3 bucket name for raw and converted artifact storage,Yes,String,Globally unique DNS-compliant bucket name,Confidential,Operations,solution.region.primary,Hosts raw markdown/CSV and converted DOCX/PPTX/XLSX per SOW,2026-06-05
storage.s3.versioning_enabled,Storage,true,true,true,Enable S3 object versioning on the artifact bucket,Yes,Boolean,true|false,Public,Operations,storage.s3.bucket_name,Required for rollback and RPO=0 for artifact tier per SOW DR design,2026-06-05
storage.s3.glacier_transition_days,Storage,30,0,30,Days after which non-current S3 object versions move to Glacier,Yes,Integer,0-3650,Public,Operations,storage.s3.versioning_enabled,0 in dev disables Glacier transition; 30 days in prod per SOW lifecycle,2026-06-05
storage.s3.cloudtrail_bucket,Storage,[s3-cloudtrail-bucket-name],[s3-cloudtrail-bucket-name],[s3-cloudtrail-bucket-name],S3 bucket name for CloudTrail logs with Object Lock (WORM),Yes,String,Globally unique DNS-compliant bucket name,Confidential,Security Team,security.cloudtrail_enabled,Separate bucket from artifact store; WORM enabled for 365-day retention,2026-06-05
storage.s3.enforce_ssl,Storage,true,true,true,Enforce HTTPS-only access via S3 bucket policy,Yes,Boolean,true|false,Public,Security Team,storage.s3.bucket_name,Enforced via aws:SecureTransport condition per SOW TLS requirement,2026-06-05
integration.github.pat,Integration,[github-pat],[github-pat],[github-pat],GitHub Personal Access Token for automated artifact commits,Yes,String,Valid GitHub PAT,Secret,Integration Team,secrets.manager.github_pat_secret_name,Stored in Secrets Manager; rotated every 90 days via Lambda rotation function,2026-06-05
integration.github.repository_url,Integration,[github-repo-url],[github-repo-url],[github-repo-url],Public GitHub repository URL for artifact commit and versioning,Yes,String,Valid HTTPS GitHub URL,Confidential,Integration Team,integration.github.pat,Public repo per SOW; write access granted via stored PAT,2026-06-05
integration.github.default_branch,Integration,main,main,main,Default branch for automated artifact commits,Yes,String,Valid git branch name,Public,Integration Team,integration.github.repository_url,,2026-06-05
integration.github.commit_timeout_seconds,Integration,30,30,30,Timeout for GitHub API commit calls in seconds,Yes,Integer,1-300,Public,Integration Team,integration.github.pat,PAT expiry triggers runbook procedure; resumption within 15 minutes per SOW,2026-06-05
secrets.manager.github_pat_secret_name,Security,amatra/prod/github-pat,amatra/dev/github-pat,amatra/prod/github-pat,Secrets Manager secret name holding the GitHub PAT,Yes,String,Valid Secrets Manager secret name path,Confidential,Security Team,solution.region.primary,Automatic rotation every 90 days via Lambda rotation function per SOW,2026-06-05
secrets.manager.cognito_secret_name,Security,amatra/prod/cognito-app-client-secret,amatra/dev/cognito-app-client-secret,amatra/prod/cognito-app-client-secret,Secrets Manager secret name holding the Cognito App Client secret,Yes,String,Valid Secrets Manager secret name path,Confidential,Security Team,cognito.app_client_id,Rotated every 365 days; no plaintext credentials in Lambda env vars,2026-06-05
monitoring.cloudwatch_dashboard_name,Monitoring,amatra-prod-health,amatra-dev-health,amatra-prod-health,CloudWatch dashboard name for platform operational metrics,Yes,String,Non-empty alphanumeric hyphens,Public,Operations,solution.region.primary,Accessible via amatra status CLI subcommand per SOW observability design,2026-06-05
monitoring.log_retention_days,Monitoring,90,30,90,CloudWatch Logs retention period in days for all log groups,Yes,Integer,1-3653,Public,Operations,,90-day minimum per SOW Security & Compliance section,2026-06-05
monitoring.metrics_namespace,Monitoring,AmatraPlatform,AmatraPlatform,AmatraPlatform,CloudWatch custom metrics namespace for token usage and latency,Yes,String,Non-empty string no spaces,Public,Operations,,Per-phase token usage emitted here per SOW observability design,2026-06-05
monitoring.alarm_sns_topic_arn,Monitoring,[sns-alarm-topic-arn],[sns-alarm-topic-arn],[sns-alarm-topic-arn],SNS topic ARN for operational and security CloudWatch alarms,Yes,String,Valid SNS ARN,Confidential,Operations,solution.region.primary,Routes to Amatra security contact and PREDICTif nominated contact,2026-06-05
monitoring.lambda_error_rate_alarm_threshold,Monitoring,1,5,1,Lambda error rate (%) threshold that triggers a CloudWatch alarm,Yes,Number,0.01-100,Public,Operations,monitoring.alarm_sns_topic_arn,1% prod threshold per SOW green baseline criteria,2026-06-05
monitoring.stepfunctions_failure_rate_alarm_threshold,Monitoring,2,10,2,Step Functions execution failure rate (%) threshold for alarm,Yes,Number,0.01-100,Public,Operations,monitoring.alarm_sns_topic_arn,2% prod threshold per SOW green baseline criteria,2026-06-05
monitoring.bedrock_daily_spend_alarm_pct,Monitoring,110,150,110,Daily Bedrock spend as a percentage of daily budget target that triggers alarm,Yes,Integer,50-500,Public,Operations,"monitoring.alarm_sns_topic_arn,bedrock.monthly_token_budget_millions",110% threshold per SOW; catches runaway token spend before monthly cap,2026-06-05
monitoring.token_usage_metric_name,Monitoring,TokenUsage,TokenUsage,TokenUsage,CloudWatch custom metric name for per-phase agent token usage,Yes,String,Non-empty alphanumeric underscores,Public,ML/AI Team,monitoring.metrics_namespace,Surfaced in CLI status command and GET /admin/usage endpoint per SOW,2026-06-05
networking.vpc_cidr,Networking,10.0.0.0/16,10.1.0.0/16,10.0.0.0/16,VPC CIDR block for the platform in us-west-2,Yes,String,Valid CIDR /16 or smaller,Confidential,Network Team,solution.region.primary,Purpose-built VPC per SOW; three availability zones,2026-06-05
networking.subnet_private_az1_cidr,Networking,10.0.0.0/24,10.1.0.0/24,10.0.0.0/24,Private subnet CIDR in AZ1 hosting Lambda and AgentCore,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,All Lambda and AgentCore containers run in private subnets per SOW,2026-06-05
networking.subnet_private_az2_cidr,Networking,10.0.1.0/24,10.1.1.0/24,10.0.1.0/24,Private subnet CIDR in AZ2 hosting Lambda and AgentCore,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,Multi-AZ redundancy for serverless components per SOW reliability,2026-06-05
networking.subnet_private_az3_cidr,Networking,10.0.2.0/24,10.1.2.0/24,10.0.2.0/24,Private subnet CIDR in AZ3 hosting Lambda and AgentCore,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,Three AZs per SOW network design,2026-06-05
networking.subnet_public_cidr,Networking,10.0.100.0/24,10.1.100.0/24,10.0.100.0/24,Public subnet CIDR hosting NAT Gateway,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,NAT Gateway handles GitHub API and CLI traffic only per SOW,2026-06-05
networking.nat_gateway_count,Networking,1,1,1,Number of NAT Gateway instances for internet egress,Yes,Integer,1-3,Public,Network Team,networking.subnet_public_cidr,1 NAT GW per SOW scope; single region PoC does not require HA NAT,2026-06-05
networking.vpc_endpoints_enabled,Networking,true,true,true,Provision VPC interface endpoints for AWS internal services,Yes,Boolean,true|false,Public,Network Team,networking.vpc_cidr,"Endpoints for Bedrock, DynamoDB, S3, Secrets Manager, ECR, CloudWatch Logs",2026-06-05
operations.backup_enabled,Operations,true,false,true,Enable automated DynamoDB and S3 backup procedures,Yes,Boolean,true|false,Public,Operations,,false in dev to reduce cost; PITR and S3 versioning cover prod backup,2026-06-05
operations.quota_reset_schedule,Operations,"cron(0 0 1 * ? *)","cron(0 0 1 * ? *)","cron(0 0 1 * ? *)",EventBridge cron expression for monthly quota counter reset Lambda,Yes,String,Valid EventBridge cron expression,Public,Operations,dynamodb.table.user_profiles,Resets per-user and global quota counters at start of each calendar month,2026-06-05
operations.scaling_min_lambda_concurrency,Operations,1,1,1,Minimum Lambda concurrency (reserved) per function,Yes,Integer,0-1000,Public,Operations,compute.lambda.reserved_concurrency,,2026-06-05
operations.scaling_max_lambda_concurrency,Operations,50,10,50,Maximum Lambda concurrency limit across all platform functions,Yes,Integer,1-3000,Public,Operations,operations.scaling_min_lambda_concurrency,Sized for 200 solutions/month with burst headroom per SOW load target,2026-06-05
operations.rto_hours,Operations,4,4,4,Recovery Time Objective in hours for full platform restoration,Yes,Integer,1-168,Public,Operations,,4-hour RTO per SOW operational design; serverless multi-AZ baseline,2026-06-05
operations.rpo_hours,Operations,24,24,24,Recovery Point Objective in hours for DynamoDB data,Yes,Integer,0-168,Public,Operations,dynamodb.pitr_enabled,24-hour RPO for DynamoDB; 0-hour RPO for S3 (versioned) per SOW,2026-06-05
operations.hypercare_weeks,Operations,8,0,8,Post-go-live hypercare support period in weeks,Yes,Integer,0-52,Public,Operations,,Weeks 13-20 per SOW; P1 response 1 hour; P2 response 4 business hours,2026-06-05
cicd.codepipeline_name,Operations,amatra-prod-pipeline,amatra-dev-pipeline,amatra-prod-pipeline,CodePipeline name for Docker image build and ECR push workflow,Yes,String,Alphanumeric hyphens max 100 chars,Confidential,DevOps Team,compute.ecr.repository_name,CI gate: terraform validate must pass in CodeBuild before plan/apply,2026-06-05
cicd.codebuilld_compute_type,Operations,BUILD_GENERAL1_SMALL,BUILD_GENERAL1_SMALL,BUILD_GENERAL1_SMALL,CodeBuild compute type for agent image build and smoke test,Yes,String,"BUILD_GENERAL1_SMALL|BUILD_GENERAL1_MEDIUM|BUILD_GENERAL1_LARGE",Public,DevOps Team,cicd.codepipeline_name,SMALL sufficient for Docker build; upgrade to MEDIUM if build times exceed 10 min,2026-06-05
cicd.terraform_validate_gate,Operations,true,true,true,Enforce terraform validate as a CI syntax gate in CodeBuild,Yes,Boolean,true|false,Public,DevOps Team,cicd.codepipeline_name,Mandatory gate per SOW; blocks plan/apply if validation fails,2026-06-05
cli.package_name,Application,amatra-cli,amatra-cli,amatra-cli,PyPI package name for the pip-installable CLI distribution,Yes,String,Valid PyPI package name,Public,Development,,pip install amatra-cli; distributed to 120 consultants per SOW,2026-06-05
cli.subcommand_count,Application,14,14,14,Total number of CLI subcommands per SOW scope,Yes,Integer,1-100,Public,Development,cli.package_name,Fixed at 14 per SOW; additional subcommands require change control,2026-06-05
cli.credential_storage_path,Application,~/.amatra/credentials,~/.amatra/credentials,~/.amatra/credentials,Local file path for JWT credential storage on consultant laptops,Yes,String,Valid filesystem path,Confidential,Development,cognito.user_pool_id,Stores access and refresh tokens post-login; chmod 600 recommended,2026-06-05
agentcore.agent_count,Application,5,5,5,Number of Strands agents registered in Bedrock AgentCore Runtime,Yes,Integer,1-20,Public,ML/AI Team,solution.region.primary,"Input Validator, Pre-Sales Generator, Delivery Generator, Code Generator, EO Validator",2026-06-05
agentcore.input_validator_agent_id,Application,[agentcore-input-validator-id],[agentcore-input-validator-id],[agentcore-input-validator-id],AgentCore Runtime resource ID for the Input Validator agent,Yes,String,Valid AgentCore agent ID,Confidential,ML/AI Team,compute.ecr.repository_name,Validates brief.txt format; first agent in Step Functions graph,2026-06-05
agentcore.presales_generator_agent_id,Application,[agentcore-presales-gen-id],[agentcore-presales-gen-id],[agentcore-presales-gen-id],AgentCore Runtime resource ID for the Pre-Sales Generator agent,Yes,String,Valid AgentCore agent ID,Confidential,ML/AI Team,agentcore.input_validator_agent_id,Produces 5 presales artifacts using Claude Sonnet 4.6,2026-06-05
agentcore.delivery_generator_agent_id,Application,[agentcore-delivery-gen-id],[agentcore-delivery-gen-id],[agentcore-delivery-gen-id],AgentCore Runtime resource ID for the Delivery Generator agent,Yes,String,Valid AgentCore agent ID,Confidential,ML/AI Team,agentcore.input_validator_agent_id,Produces 6 delivery artifacts using Claude Sonnet 4.6,2026-06-05
agentcore.code_generator_agent_id,Application,[agentcore-code-gen-id],[agentcore-code-gen-id],[agentcore-code-gen-id],AgentCore Runtime resource ID for the Code Generator agent,Yes,String,Valid AgentCore agent ID,Confidential,ML/AI Team,agentcore.input_validator_agent_id,Produces Terraform IaC bundle; triggers GitHub commit via Secrets Manager PAT,2026-06-05
agentcore.eo_validator_agent_id,Application,[agentcore-eo-validator-id],[agentcore-eo-validator-id],[agentcore-eo-validator-id],AgentCore Runtime resource ID for the EO Validator agent,Yes,String,Valid AgentCore agent ID,Confidential,ML/AI Team,agentcore.code_generator_agent_id,Runs format-check + Haiku 4.5 quality-check with up to 3 retries per artifact,2026-06-05
